Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Masuk/Input Username""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 15:55:47,2019-12-01 15:55:49,2.262s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Password""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 15:55:49,2019-12-01 15:55:51,1.951s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/button_Masuk""))",Chrome 78.0.3904.108,,,2019-12-01 15:55:51,2019-12-01 15:55:58,6.902s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:55:58,2019-12-01 15:56:07,8.815s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""))",Chrome 78.0.3904.108,,,2019-12-01 15:56:07,2019-12-01 15:56:07,0.318s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dashboard/Medigo Logo""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:56:07,2019-12-01 15:56:07,0.274s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/Dokter Button""))",Chrome 78.0.3904.108,,,2019-12-01 15:56:07,2019-12-01 15:56:08,0.892s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dokter/Input Search Dokter""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:56:08,2019-12-01 15:56:12,3.902s,PASSED
"click(findTestObject(""Object Repository/Page_Dokter/Add Dokter Button""))",Chrome 78.0.3904.108,,,2019-12-01 15:56:12,2019-12-01 15:56:12,0.331s,PASSED
"NamaDokter = ""Syailendra""",Chrome 78.0.3904.108,,,2019-12-01 15:56:12,2019-12-01 15:56:12,0.001s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Nama Dokter""), NamaDokter)",Chrome 78.0.3904.108,,,2019-12-01 15:56:12,2019-12-01 15:56:15,2.329s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Tanggal Lahir Dokter""), ""06/10/1997"")",Chrome 78.0.3904.108,,,2019-12-01 15:56:15,2019-12-01 15:56:15,0.754s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Identity Card Number""), ""1234567890123456"")",Chrome 78.0.3904.108,,,2019-12-01 15:56:15,2019-12-01 15:56:17,1.291s,PASSED
"click(findTestObject(""Object Repository/Page_Tambah Dokter/Gender Selection""))",Chrome 78.0.3904.108,,,2019-12-01 15:56:17,2019-12-01 15:56:17,0.333s,PASSED
"click(findTestObject(""Object Repository/Page_Tambah Dokter/Male""))",Chrome 78.0.3904.108,,,2019-12-01 15:56:17,2019-12-01 15:56:18,0.506s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Consultation Duration""), ""30"")",Chrome 78.0.3904.108,,,2019-12-01 15:56:18,2019-12-01 15:56:19,1.196s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Phone Number""), ""+6281222334455"")",Chrome 78.0.3904.108,,,2019-12-01 15:56:19,2019-12-01 15:56:19,0.725s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Email""), ""Syailendra@gmail.com"")",Chrome 78.0.3904.108,,,2019-12-01 15:56:19,2019-12-01 15:56:21,1.709s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Spesialization""), ""Spesialis Penyakit Dalam"")",Chrome 78.0.3904.108,,,2019-12-01 15:56:21,2019-12-01 15:56:23,1.861s,PASSED
"setText(findTestObject(""Object Repository/Page_Tambah Dokter/Input Poliklinik""), ""Akupuntur"")",Chrome 78.0.3904.108,,,2019-12-01 15:56:23,2019-12-01 15:56:25,1.835s,PASSED
"click(findTestObject(""Object Repository/Page_Tambah Dokter/div_Simpan""))",Chrome 78.0.3904.108,,,2019-12-01 15:56:25,2019-12-01 15:56:32,6.963s,PASSED
"setText(findTestObject(""Object Repository/Page_Dokter/Input Search Dokter""), NamaDokter)",Chrome 78.0.3904.108,,,2019-12-01 15:56:32,2019-12-01 15:56:35,2.976s,PASSED
delay(3),Chrome 78.0.3904.108,,,2019-12-01 15:56:35,2019-12-01 15:56:38,3.018s,PASSED
"compare_name = getText(findTestObject(""Object Repository/Page_Dokter/Nama Dokter 1"")).toString()",Chrome 78.0.3904.108,,,2019-12-01 15:56:38,2019-12-01 15:56:38,0.386s,PASSED
UpperCaseName = NamaDokter.toUpperCase(),Chrome 78.0.3904.108,,,2019-12-01 15:56:38,2019-12-01 15:56:38,0.000s,PASSED
if (compare_name.contains(NamaDokter) == true),Chrome 78.0.3904.108,,,2019-12-01 15:56:38,2019-12-01 15:56:38,0.001s,PASSED
else if (compare_name.contains(UpperCaseName) == true),Chrome 78.0.3904.108,,,2019-12-01 15:56:38,2019-12-01 15:56:38,0.000s,PASSED
else,Chrome 78.0.3904.108,,,2019-12-01 15:56:38,2019-12-01 15:56:38,0.004s,PASSED
